City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
61,isafjordur,66.0755,-23.124,3.3000000000000105,97,100,7.75,IS,1704157072
62,avarua,-21.2078,-159.775,27.03000000000003,74,75,6.69,CK,1704157073
63,mount isa,-20.7333,139.5,33.870000000000005,46,33,3.6,AU,1704157074
64,bengkulu,-3.8004,102.2655,25.390000000000047,87,100,1.3,ID,1704157075
65,yaren,-0.5472,166.916,29.31000000000001,71,0,7.41,NR,1704157076
66,kone,-21.0595,164.8658,32.85000000000002,46,24,1.97,NC,1704157077
67,kasane,-17.8167,25.15,22.140000000000043,78,92,1.24,BW,1704157077
68,pamandzi,-12.7967,45.2794,29.879999999999995,79,20,4.63,YT,1704157078
69,deqen,29.9618,90.7188,-6.579999999999985,63,90,0.95,CN,1704157079
70,weno,7.4515,151.8468,27.970000000000027,94,100,4.12,FM,1704157080
71,timimoun,29.2639,0.231,14.210000000000036,33,0,2.57,DZ,1704157080
72,kirakira,-10.4544,161.9205,30.75,68,100,3.05,SB,1704157081
73,georgetown,5.4112,100.3354,26.960000000000036,93,20,2.06,MY,1704156841
74,chul'man,56.8479,124.9104,-31.44999999999999,100,100,0.76,RU,1704157083
75,lata,40.1629,-8.3327,9.490000000000009,87,100,1.81,PT,1704157084
76,jackson,42.4165,-122.8345,8.170000000000018,80,0,0.0,US,1704156841
77,hasaki,35.7333,140.8333,7.3799999999999955,58,95,5.49,JP,1704157086
78,chonchi,-42.6128,-73.8092,12.900000000000034,92,84,1.37,CL,1704157087
79,namibe,-15.1961,12.1522,22.06,66,10,4.89,AO,1704157088
80,jamestown,42.097,-79.2353,-0.22999999999996135,98,100,4.12,US,1704157089
81,invercargill,-46.4,168.35,16.680000000000007,73,100,8.49,NZ,1704157090
82,argo,37.6333,22.7333,11.550000000000011,75,100,1.75,GR,1704157090
83,pinheiro machado,-31.5783,-53.3811,18.360000000000017,94,89,4.66,BR,1704157091
84,tura,25.5198,90.2201,13.530000000000031,69,0,1.34,IN,1704157092
85,burang,30.25,81.1667,-10.5,63,0,1.36,CN,1704157093
86,palia kalan,28.45,80.5833,9.120000000000006,65,0,1.42,IN,1704157094
87,vadso,70.0744,29.7487,-12.909999999999968,72,100,5.14,NO,1704157095
88,lompoc,34.6391,-120.4579,17.08000000000004,63,0,5.14,US,1704157052
89,kapuskasing,49.4169,-82.4331,-2.9499999999999895,80,100,6.69,CA,1704157098
90,ceeldheer,3.8488,47.1806,24.330000000000037,79,100,7.1,SO,1704157099
